;we.ep;we.eBH;wi.ep;wi.eBH;;;;;;;;;
12124c90c7524376aaf5267a5a7a05b4;0.494557212;0.992578005;0.511997699;0.990018813;;;;;;;;;
cb46a349e3825582a304af5f30cee76a;0.502737918;0.990395636;0.532379615;0.990072472;;;;;;;;;
62a68d7ea663fb9ff71b832df11f13c7;0.340366931;0.990539581;0.426443915;0.99008387;;;;;;;;;
6562b7b3abb6ab0be82d11b6ffc3df94;0.463141421;0.991747708;0.480039079;0.990085616;;;;;;;;;
7ddd4fe4ed3c4c4451ab1d3f9d6a5ee2;0.464718102;0.991631906;0.505896493;0.990095236;;;;;;;;;
20f19bad09a9d9fcf2de8a9d7edcb335;0.516520421;0.992351558;0.565570689;0.990132267;;;;;;;;;
8fb650fe62d1cee384d93c4b9ad02e04;0.481628262;0.992224763;0.508814531;0.990149566;;;;;;;;;
831c260f67aed3ac998bbf5ce2161b31;0.45292979;0.99059411;0.484879872;0.990167859;;;;;;;;;
a070d0ffcb1dfd04aa63e4d0716a29c3;0.4912841;0.991144666;0.555198157;0.990170849;;;;;;;;;
01497e300b3bdfdbbf0dc7809287d5a5;0.471858252;0.991461439;0.487361811;0.990219245;;;;;;;;;
70924aae8f5273015e037e13cc44004b;0.469270154;0.991971525;0.482070778;0.990237673;;;;;;;;;
c2f9f47258fd6e139953a31eccd11379;0.469669142;0.991391155;0.494713467;0.990245218;;;;;;;;;
80dc20b4ce3f3125ab596187e9abbfa4;0.515703841;0.992047763;0.538627687;0.990247457;;;;;;;;;
052488d3e55c803edc6002ead04e104b;0.454399797;0.991548074;0.493525041;0.990248573;;;;;;;;;
b1af91d02160174eb11990e361cdef3b;0.473904361;0.986269858;0.486816446;0.990275398;;;;;;;;;
ab8ac2992131b304fc04e3ecf3c1e402;0.470190659;0.990529625;0.478563991;0.990328593;;;;;;;;;
fd70271c8a65ae30025ab08bf54c8e84;0.341353172;0.991321694;0.368684119;0.990339732;;;;;;;;;
c05aa9af4eea78065f2502b234b37aab;0.518836674;0.99274669;0.550376324;0.990344091;;;;;;;;;
399bf4c0f0fb1047b2463b620818aab0;0.542563467;0.992088604;0.574753831;0.990357563;;;;;;;;;
df2805ee6ed54daf037aa7ec08859eaa;0.487890182;0.991188954;0.506290814;0.990367508;;;;;;;;;
8c2417ad0ffec8478e752b53246ad7cf;0.470172188;0.991385809;0.488158487;0.990371075;;;;;;;;;
2a0ea4bcfead70fef67068c303e9aa42;0.545904572;0.992333321;0.556806291;0.990389795;;;;;;;;;
cf0e363eb95921f52596a766ae363d43;0.420919174;0.991846328;0.452952746;0.990390356;;;;;;;;;
a4762642705a43661f78c735b579daea;0.472584223;0.992216144;0.493153538;0.990406268;;;;;;;;;
