;we.ep;we.eBH;wi.ep;wi.eBH
9501ca192f9ee30599756739ae757a80;0.459909533;0.992468974;0.48947064;0.996785204
05bb31a71b9138d41714d7edd668b8e3;0.448961709;0.991991696;0.489823504;0.99688383
affa4f89b2c34080fa9e7ed722452163;0.465814582;0.992092745;0.489833145;0.99541293
ee3d464b8281b51348981e9432494976;0.477833036;0.992103954;0.489874923;0.997662932
a4d59280c3965fbbfea1623161e14ef7;0.438296859;0.991284314;0.490021468;0.996879652
48384d7cd07a8d58c3d1c021a91c47fa;0.448235572;0.991848406;0.490150658;0.996297821
3013e61c43269bab78ef59d5884eaea7;0.434610197;0.991773845;0.490241927;0.998203036
bb928881854926565bc188bae30bba9a;0.466810738;0.992255277;0.490392971;0.994590196
9f2a72c11d10de244359f5fe27923ec4;0.457897486;0.992500303;0.490684775;0.998203592
c4fd2aa07df067eae6367408169b895e;0.46523859;0.992088322;0.491184183;0.997516935
761f7e708da7d13e480fc4eee2d31e72;0.492828431;0.992503275;0.491286379;0.99763649
085e5eb2d3037909facccf53f7a7c239;0.445840549;0.992364196;0.491295377;0.989017664
a89a10efc11a1e15d966bf26a859e0a8;0.45708876;0.992638907;0.491340369;0.997926345
f4f11b25b28c1226be90670e50311f02;0.462041789;0.992088794;0.491589109;0.997802992
169d91248351645dcf96c97eb0a8329e;0.460813944;0.991966533;0.491818567;0.998009601
9a7cf51088f94fcef148236c0ada53be;0.451863029;0.992089688;0.491927833;0.997549785
1df63417c4b49155a42db88f0a1d508d;0.468965628;0.991748393;0.492008176;0.996768596
b28ae07056b7c8938313956c9f577887;0.452925435;0.991907614;0.492222208;0.99742579
3f5abece47f6555bf365947f436393c6;0.465568632;0.992287945;0.492222851;0.997471969
7aae4bbb9023a12455eb7b7efd64c7f9;0.44907309;0.991826808;0.492303836;0.997653643
49b149bd70b409c5bec9d14ba78fb68a;0.460910208;0.991605775;0.492720974;0.997972217
de11521959036e5985b355252734c125;0.478332018;0.991706184;0.492918938;0.997074467
5e28498dc3a327980eac9e2486e95afe;0.478996681;0.992039526;0.492942076;0.997183935
037ecd087908fb56981e641161221f77;0.4689797;0.992198982;0.493223596;0.991087922
cc5534f8daea6225800e50e124721fda;0.465600274;0.991585984;0.493270516;0.99450906
7a2713eff78c2918ef1fced92c3065f9;0.479583041;0.992595174;0.493354072;0.997732632
9e0359e525558350d272a2258691b2f8;0.472080553;0.992289852;0.493443413;0.998146447
e06c6cd4498df713b8b203164d550a5d;0.480388291;0.985372379;0.493503188;0.990678496
a63f9f3438bcde003769de3f1a211773;0.438701351;0.991698041;0.493560392;0.997837731
4ad9cfa8dd926a5d093e8f8b7fd9b29d;0.46656767;0.992117347;0.493601527;0.996227197
fe8eeee18ea3190ec7c6af0e7a772d30;0.430540289;0.992006857;0.493641377;0.997817419
1bb979474cfc88da33107d9a6149a89a;0.45514549;0.991840997;0.493717863;0.997997877
f66044f8284cff2e34023ace38bb36d6;0.465913824;0.992938172;0.493738431;0.998019586
08cc419671104f9b1e25d653b23d01bc;0.466227218;0.993084316;0.493757713;0.996550919
8330ad7bbaba8021ccf8346532882ddc;0.485459371;0.992672338;0.493763498;0.997791849
cec0c5958d484e9c56f99322fa58ca46;0.478558158;0.991966639;0.493784065;0.996581946
745c6be87936f98a9c6520d2ad17acb5;0.457921959;0.991922964;0.493917755;0.996796126
